|BIQ_ID|Navn|Firma|Arbejdsområde|Retskreds||||
0|0|Rasmus Vad Andersen|"Kromann Reumert,
Aarhus C "||Aarhus||||
0|0|Rasmus Uldal Bessing Abildtrup|"Advokat Rasmus Uldal Bessing Abildtrup,
København K "||København||||
0|0|Rasmus Tønnies|"Bech-Bruun Advokatfirma,
København Ø "|Selskabsret| virksomhedsoverdragelse |København|||
0|0|Rasmus Skov Sjølund|"Jens Skytte Advokatanpartsselskab,
København K "||København||||
0|0|Rasmus Schmidt|"Kromann Reumert,
København Ø "||København||||
0|0|Rasmus Piilgaard Barkholt|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
0|0|Rasmus Peter Larsen|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
0|0|Rasmus Olesen|"Nielsen Nørager Advokatpartnerselskab,
København K "||København||||
0|0|Rasmus Nørgaard Bek|"Lett Advokatfirma,
Aarhus C "||Aarhus||||
0|0|Rasmus Nyhold Møller|"Jonquières & Jensen Advokater,
København K "||København||||
0|0|Rasmus Nilsson-Børresen|"Advokatfirmaet Tommy V. Christiansen Roskilde I/S,
Roskilde "|Erhvervslejeret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| insolvensret/ betalingsstandsning/ konkurs/ akkord |Roskilde||
0|0|Rasmus Munk Nielsen|"Kromann Reumert,
Aarhus C "|Immaterialret| markedsføringsret |Aarhus|||
0|0|Rasmus Mehl|"Advokatfirmaet Rasmus Mehl,
København K "||København||||
0|0|Rasmus Mandøe Jensen|"Plesner,
København Ø "||København||||
3318|1315986|Rasmus Laasby Eshøj|||||||
0|0|Rasmus Lundorf Thusgaard|"Innova Advokatfirma Advokatpartnerselskab,
Aarhus C "|Selskabsret| virksomhedsoverdragelse |Aarhus|||
0|0|Rasmus Lund|"MAQS Law Firm,
København K "|Agent- og eneforhandleraftaler| markedsføringsret| medicinalindustriens retsforhold |København||
2784|17084576|Rasmus Lindholm Friis-Vestergaard|||||||
0|0|Rasmus Lindhardt Jensen|"Steffensen Horstmann Advokatpartnerselskab,
Viborg "||Viborg||||
1841|1433557|Rasmus Lindhardt|||||||
0|0|Rasmus Kieffer-Kristensen|"Stagetorn Wenzel Lund Poulsen,
København K "|Menneskerettigheder| strafferet| udlændingeret |København||
0|0|Rasmus Juvik|"Grubbe Advokater Advokatanpartsselskab,
København K "|Andelsboligforeninger| lejeret| procedure/ retssager |København||
5710|2002378|Rasmus Johannes Skaun Hoffmann|||||||
0|0|Rasmus Højbo Schjoldager|"Kromann Reumert,
Aarhus C "||Aarhus||||
0|0|Rasmus Høj Christensen|"Plesner,
København Ø "||København||||
0|0|Rasmus Holm Hansen|"KAMMERADVOKATEN ADVOKATFIRMAET POUL SCHMITH,
København V "|Entrepriseret| eu-udbud| miljø og energi |København||
0|0|Rasmus Holm|"Kromann Reumert,
København Ø "||København||||
0|0|Rasmus Hoffery Nielsen|"Advokatfirmaet Jon Palle Buhl Advokataktieselskab,
København K "||København||||
0|0|Rasmus Hedegaard|"Advokathuset Odder,
Odder "||Aarhus||||
0|0|Rasmus Haugaard|"Haugaard Nielsen Advokatpartnerselskab,
Aalborg "|Erhvervsret| finansieringsret| virksomhedsoverdragelse |Aalborg||
0|0|Rasmus Hannibal Edberg Agathon|"Danders & More,
København K "||København||||
0|0|Rasmus Gørup Christiansen|"Advokatfirmaet Tommy V. Christiansen,
Åbyhøj "|Immaterialret| markedsføringsret| selskabsret |Aarhus||
5344|1982628|Rasmus Finnerup Wille|||||||
0|0|Rasmus Errboe|"Kromann Reumert,
København Ø "||København||||
0|0|Rasmus Dalgaard Laustsen|"Kromann Reumert,
København Ø "||København||||
4432|628659|Rasmus Christiansen|||||||
0|0|Rasmus Christian Trosborg|"Mazanti-Andersen, Korsø Jensen & Partnere Advokatfirma,
København K "||København||||
0|0|Rasmus Bollerup-Jensen|"Skov Advokater Advokataktieselskab,
Vejle "|Entrepriseret| erhvervs- og selskabsforhold| retssager |Kolding||
0|0|Rasmus Bjørndahl Bylov|"Skovbo Hjort Advokater,
Aarhus C "|Entrepriseret| erstatning- og forsikringsret| retssager |Aarhus||
0|0|Rasmus Bjørn Christiansen|"Per Bruhn & Partner,
Lyngby "||Lyngby||||
0|0|Rasmus Bjerre|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
0|0|Rasmus Birkedal Riisbro|"Lind Advokataktieselskab,
København V "||København||||
0|0|Rasmus B. Kronborg|"Advodan Thisted I/S,
Thisted "|Erhvervs- og selskabsforhold| insolvensret/ betalingsstandsning/ konkurs/ akkord| strafferet |Holstebro||
0|0|Rasmus Anker Kyhn-Hansen|"ADVODAN Esbjerg,
Esbjerg "|Ejendomsjura| entrepriseret| insolvensret/ betalingsstandsning/ konkurs/ akkord |Esbjerg||
0|0|Rasmus Anberg|"Advokat Rasmus Anberg,
København K "|Erstatningsret| procedure/ retssager| strafferet |København||
0|0|Rasmus Amandusson|"Advodan Aalborg A/S,
Aalborg "||Aalborg||||
0|0|Rania Kassis|"Bech-Bruun Advokatfirma,
København Ø "|Energiret| virksomhedsoverdragelse |København|||
0|0|Randi Larsen|"Buch & Baruah Advokatfirma,
Haderslev "|Arv og dødsbo| ejendomshandler| familieret- og personret |Sønderborg||
0|0|Randi Høj Brarup|"Lett Advokatfirma,
Kolding "||Kolding||||
2268|1442191|Randi Holm Franke|||||||
0|0|Randi Bach Poulsen|"Bech-Bruun Advokatfirma,
København Ø "|Engelske retsforhold| finansieringsret| selskabsret |København||
3453|1883142|Rameesh Thirugnanasambanther|||||||
3612|1473364|Ralph Anderson Miller|||||||
360|1013689|Ralf Retzko|||||||
5072|1122242|Ralf Paul Guntermann|||||||
415|1449315|Ralf Heinz Sommer|||||||
2883|1867170|Ralf Dieter Fiedler|||||||
841|1965408|Rainer Stäbler|||||||
2210|627953|Raimo Daniel Issal|||||||
5558|627952|Raimo Anjala|||||||
2018|16911679|Raffaele Cicala|||||||
0|0|Rachael Hailey|"Eversheds Advokataktieselskab,
København K "||København||||
4137|627742|Rabah Wafic Idris|||||||
0|0|Qasir Bashir|"Q & A Advokater v/ Advokat Qasir Bashir,
Frederiksberg C "|Bolighandel| erhvervs- og selskabsforhold| skat og afgifter |Frederiksberg||
5148|1306191|Pål Ola Kjellson Alfvegren|||||||
2197|1719612|Pål Hvammen|||||||
1191|1504923|Pål Heldrup Rasmussen|||||||
1875|627672|Pål Eikeland|||||||
4649|1774310|Pål Christian Stange|||||||
683|1460393|Pär Mikael Aru|||||||
499|1722174|Pär Fredrik Kjellgren|||||||
4703|1513651|Puneet Chhatwal|||||||
161|627632|Puk Thomas|||||||
0|0|Preben Østergård|"Advokaterne Kongevej 64 I/S,
Sønderborg "|Arv og dødsbo| familieret- og personret| insolvensret/ betalingsstandsning/ konkurs/ akkord |Sønderborg||
0|0|Preben Wegener Kofoed|"Judica Advokaterne Aabenraa,
Åbenrå "|Arv og dødsbo| transportret |Sønderborg|||
1650|627308|Preben Tolstrup|||||||
5739|627274|Preben Thomsen Schmidt|||||||
0|0|Preben Thomassen|"Thomassen & Fischer Advokatfirma I/S,
Åbenrå "|Erhvervsret| pengeinstitutjura| procedure/ retssager |Sønderborg||
157|627238|Preben Terp-Nielsen|||||||
2334|1477234|Preben Temdrup Pedersen|||||||
79|627185|Preben Sunke|||||||
0|0|Preben Stokkendal|"Advokatfirmaet Hector & Stokkendal,
København Ø "|Arv og dødsbo| selskabsret| virksomhedsrekonstruktion |København||
1900|1634116|Preben Steenholdt Pedersen|||||||
0|0|Preben Skou-Nielsen|"Trolle Advokatfirma, Advokatpartnerselskab,
Fredericia "|Erhvervsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| lejeret |Kolding||
0|0|Preben Skou-Nielsen|"Trolle Advokatfirma, Advokatpartnerselskab,
Kolding "|Erhvervsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| lejeret |Kolding||
0|0|Preben Skou-Nielsen|"Trolle Advokatfirma, Advokatpartnerselskab,
Vejle "|Erhvervsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| lejeret |Kolding||
0|0|Preben Skou-Nielsen|"Trolle Advokatfirma, Advokatpartnerselskab,
Middelfart "|Erhvervsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| lejeret |Odense||
107|626947|Preben Rosenkilde|||||||
4083|1580584|Preben Rasmussen|||||||
1724|626634|Preben Nørgaard Larsen|||||||
800|626523|Preben Møller Nielsen|||||||
0|0|Preben Lunn|"Ret & Råd, Frederikssund Advokaterne Bak, Damgaard og Lunn,
Frederikssund "||Hillerød||||
1849|267265|Preben Lund Hansen|||||||
4375|1193412|Preben Lies Jensen|||||||
0|0|Preben Kønig|"Kønig & Partnere,
København K "|Erhvervsret| generationsskifte| selskabsret |København||
5659|626169|Preben Kurt Nielsen|||||||
4523|626119|Preben Kold Larsen|||||||
3812|235883|Preben Klovborg Løgstrup|||||||
1886|625915|Preben Johansen|||||||
5191|716655|Preben Jessen|||||||
5502|625813|Preben Jensen|||||||
0|0|Preben Jakobsen|"Kromann Reumert,
København Ø "||København||||
1135|1325486|Preben Ingemann Jensen|||||||
0|0|Preben Gundersen|"Advokatfirmaet Fink,
Åbenrå "|Entrepriseret| erhvervsret |Sønderborg|||
0|0|Preben Gamst|"MAQS Law Firm,
København K "|Entrepriseret| forsikringsret| støttet byggeri |København||
84|625376|Preben Frank Nielsen|||||||
3366|625363|Preben Fogtmann|||||||
2024|1874546|Preben Engberg Christensen|||||||
0|0|Preben Elmsted|"Investeringsselskabet af 10. september 2007 ApS,
Kolding "|Virksomhedsrådgivning |Kolding||||
577|625196|Preben Edvard Kønig|||||||
0|0|Preben Edholm|"Advokatfirmaet Preben Edholm & Klaus Sell,
Gørlev Sjælland "||Holbæk||||
0|0|Preben Dickow|"Advokatfirmaet Jens Duus,
København S "||København||||
21|625112|Preben Damgaard Nielsen|||||||
5297|976177|Preben Dahlgaard|||||||
0|0|Preben Bjerre|"Ret & Råd Advokater Bjerre, Outzing & Kjær Advokatpartnerselskabet Bjerre, Outzing & Kjær,
Hurup Thy "|Almen praksis| fast ejendom-boligrådgivning/ ejendomsberigtigelse| landboret/ landbrugshandler |Holstebro||
0|624754|Preben Bang Henriksen|"Advokatfirmaet Børge Nielsen,
Aalborg "|Erhvervslejeret| erhvervsret| selskabsret |Aalborg||
3266|624754|Preben Bang Henriksen|||||||
2161|624742|Preben Bager|||||||
1597|624714|Preben Arndal|||||||
917|624674|Preben Andersen|||||||
0|0|Povl Thue Kristensen|"Judica Advokaterne Sønderborg,
Sønderborg "|Agent- og eneforhandleraftaler| selskabsret| virksomhedsoverdragelse |Sønderborg||
3037|1378920|Povl Nielsen|||||||
0|0|Povl Nick Bronstein|"Publicure Advokatfirma P/S,
København S "||København||||
463|624436|Povl Krogsgaard|||||||
1971|307017|Povl Christian Lütken Frigast|||||||
2765|624229|Povl Christensen|||||||
4810|235858|Pouline Petrine Magdaline Ostermann Sørensen|||||||
4438|624101|Poul-Jørn Lindberg|||||||
1829|619262|Poul-Erik Sørensen|||||||
1769|7360691|Poul-Erik Nielsen|||||||
5258|623783|Poul Østergaard Mortensen|||||||
0|0|Poul Winther Andersen|"Advokatfirmaet Højbjerg Jensen, Vogel & Gammelby,
Varde "|Erhvervsret| husdyrvoldgiftsret| insolvensret/ betalingsstandsning/ konkurs/ akkord |Esbjerg||
0|0|Poul Westergaard|"ADVODAN Roskilde A/S,
Roskilde "||Roskilde||||
0|623535|Poul Viggo Bartels Petersen|"Kromann Reumert,
Aarhus C "|Bestyrelsesarbejde| selskabsret |Aarhus|||
2646|623535|Poul Viggo Bartels Petersen|||||||
2713|623508|Poul Vestergaard Hansen|||||||
0|0|Poul Turley|"Advokatfirmaet Schou & Turley,
København V "||København||||
0|0|Poul Thorup|"Advokatfirmaet Hovmøller & Thorup,
Aalborg "|Bestyrelsesarbejde| erhvervsret| international erhvervsret |Aalborg||
4859|622981|Poul Steen Rasmussen|||||||
3578|622732|Poul Rødbroe Rasmussen|||||||
2275|622694|Poul Ronald Poulsen|||||||
6045|622638|Poul Richard Ulsøe|||||||
0|0|Poul Resen Steenstrup|"Clemens Advokater Advokatpartnerselskab,
Aarhus C "|Almennyttigt boligbyggeri| fast ejendom-boligrådgivning/ ejendomsberigtigelse| gældssanering |Aarhus||
0|0|Poul Rasmussen|"Advokaterne,
Aarhus C "|Insolvensret/ betalingsstandsning/ konkurs/ akkord| personskadeerstatning| procedure/ retssager |Aarhus||
703|622297|Poul Overgaard Poulsen|||||||
0|0|Poul Møller Andersen|"Kielberg Advokater,
Odense C "|Bestyrelsesarbejde| generationsskifte| selskabsret |Odense||
53|739499|Poul Møller|||||||
3631|235857|Poul Michael Rørup|||||||
0|0|Poul Merrild|"ADVODAN Esbjerg,
Esbjerg "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| selskabsret| strafferet |Esbjerg||
0|0|Poul Meldgaard|"MELDGAARD Advokatfirma I/S,
Aarhus C "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| selskabsret| virksomhedsoverdragelse |Aarhus||
3107|235835|Poul Martin Mikkelsen|||||||
0|0|Poul Lønborg-Jensen|"Brammer Advokater Kontorfællesskab,
København K "|Erstatningsret| forsikringsret| personskadeerstatning |København||
3896|237025|Poul Lindof|||||||
3619|713738|Poul Larsen|||||||
3217|621326|Poul Kristiansen|||||||
5020|621085|Poul Kejser Kristiansen|||||||
0|0|Poul Karstensen|"Advokataktieselskabet Hjerrild & Bisgaard,
Ribe "|Erstatningsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| lejeret |Esbjerg||
5411|620915|Poul Jørgen Albæk Poulsen|||||||
0|0|Poul Jost Jensen|"ADVODAN Glostrup,
Glostrup "|Arv og dødsbo| familieret- og personret| lejeret |Glostrup||
4242|1843005|Poul Johannes Jacobsen|||||||
0|0|Poul Jensen-Dahm|"Middelfart Advokaterne I/S Jensen-Dahm, Gorm Pedersen & Schroll Madsen,
Middelfart "|Arv og dødsbo| ejendomshandler| selskabsret |Odense||
0|0|Poul Jensen|"DAHL, Esbjerg Advokataktieselskab,
Esbjerg "||Esbjerg||||
0|0|Poul Jagd Mogensen|"Accura Advokatpartnerselskab,
Hellerup "|Insolvensret/ betalingsstandsning/ konkurs/ akkord| selskabsret| virksomhedsrådgivning |Lyngby||
2463|620633|Poul Ivar Jakobsen|||||||
5257|617519|Poul Ivar Damgaard|||||||
0|0|Poul Hvilsted|"Advokataktieselskabet Horten,
Hellerup "|Entrepriseret| forsikringsret| miljø og energi |Lyngby||
0|0|Poul Holmgård|"Advokat Holmgård,
Aarhus C "||Aarhus||||
5912|620438|Poul Hjulmand|||||||
6036|620380|Poul Henrik Tvede|||||||
0|0|Poul Henrik Roepstorff|"Advokat Poul Henrik Roepstorff,
Frederikssund "|Ejendomsadministration| erstatningsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Hillerød||
785|620286|Poul Henning Zacho|||||||
4451|1588712|Poul Henning Jensen|||||||
0|0|Poul Helmuth Petersen|"Homann Advokater,
København K "||København||||
0|0|Poul Heidmann|"Bruun & Hjejle I/S,
København K "|Kommunalret| miljø og energi| offentlig ret |København||
5168|619899|Poul Hangaard Pedersen|||||||
784|619890|Poul Halfdan Lauritsen|||||||
0|0|Poul Gudberg|"Advokatfirmaet Gudberg,
Silkeborg "|Familieret- og personret| strafferet| voldgiftssager |Viborg||
0|0|Poul Grotum Sørensen|"Vilsøe Boligadvokater,
København K "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| lejeret| procedure/ retssager |København||
0|0|Poul Georg Laursen|"Thyregod Advokater,
København K "||København||||
0|0|Poul G. Jensen|"MAQS Law Firm,
København K "||København||||
734|619646|Poul Friis|||||||
5043|619615|Poul Frank Sørensen|||||||
0|0|Poul Flemming Hansen|"Plesner,
København Ø "|Ansættelses- og arbejdsret| international finansieringsret| procedure/ retssager |København||
1600|1251431|Poul Erik Weber|||||||
2677|619341|Poul Erik Tøjner|||||||
223|619175|Poul Erik Skov Christensen|||||||
0|0|Poul Erik Petersen|"Gribskovadvokaterne,
Helsinge "|Ejendomshandler| retssager| selskabsret |Helsingør||
4542|618979|Poul Erik Pedersen|||||||
1588|618858|Poul Erik Nielsen|||||||
2109|1143561|Poul Erik Morthorst|||||||
0|0|Poul Erik Lytken|"Bech-Bruun Advokatfirma,
København Ø "||København||||
106|618723|Poul Erik Lundsgaard|||||||
2345|618607|Poul Erik Krogh|||||||
0|0|Poul Erik Kjeldgaard|"Advokataktieselskab Kragbak og Olesen Eurojuris Danmark,
Aalborg "||Aalborg||||
0|0|Poul Erik Hansen|"Advokatfirmaet Kjems A/S,
Gråsten "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| landboret/ landbrugshandler| virksomhedsoverdragelse |Sønderborg||
1716|618089|Poul Erik Clausen|||||||
3447|618007|Poul Erik Byriel|||||||
0|617867|Poul Erik Andersen|"Ret & Råd Sundhuset,
Horsens "|Erhvervsret| eu-ret| selskabsret |Horsens||
6044|617867|Poul Erik Andersen|||||||
0|0|Poul Ege Poulsen|"ADVODAN Helsingør,
Helsingør "|Arv og dødsbo| erhvervs- og selskabsforhold |Helsingør|||
4637|617602|Poul Due Jensen|||||||
387|617500|Poul Dahlgård|||||||
5305|617497|Poul Dahlgaard|||||||
4053|617440|Poul Christian Tage Kjær|||||||
1672|617347|Poul Christian Davidsen|||||||
4983|617137|Poul Byrial Nielsen|||||||
827|16809939|Poul Brændgaard|||||||
0|0|Poul Bostrup|"Advokatfirmaet Poul Bostrup,
Hillerød "|Inkasso| it-ret| skatteret |Hillerød||
6112|266249|Poul Bentsen|||||||
0|0|Poul Beck|"Beck Advokatfirma,
Årup "||Odense||||
0|0|Poul Bay-Larsen|"Advokatfirmaet Sv. O. Hansen,
Kalundborg "|Arv og dødsbo| gældssanering| insolvensret/ betalingsstandsning/ konkurs/ akkord |Holbæk||
0|0|Poul Bach|"AB Advokater ApS,
Birkerød "|Ansættelses- og arbejdsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| kontraktsret |Lyngby||
1864|616641|Poul Arne Nielsen|||||||
2760|616623|Poul Arne Jensen|||||||
5855|616565|Poul Anker Ravn|||||||
1424|616395|Poul Anders Andersen|||||||
2639|1166608|Polonca Bobinac|||||||
0|0|Piya Mukherjee|"Advokataktieselskabet Horten,
Hellerup "|Erhvervsret| insolvensret/ betalingsstandsning/ konkurs/ akkord| virksomhedsrekonstruktion |Lyngby||
1127|16810013|Piotr Ikanowicz|||||||
0|0|Pinar Gökcen|"Moalem Weitemeyer Bendtsen Advokatpartnerselskab,
København K "||København||||
1035|1433320|Pieter Johannes Barbier|||||||
2336|1477236|Piet Jansen|||||||
2725|616041|Pierre-Yves Jullien|||||||
4322|1436706|Pierre Francois Block|||||||
5527|1594835|Pierre Danon|||||||
5094|1577069|Pierre André Couturier Hervé|||||||
1072|1838142|Pierre Albert Charles Milet|||||||
0|0|Pia Vium Strandridder|"ADVODAN Vejen A/S,
Vejen "|Insolvensret/ betalingsstandsning/ konkurs/ akkord |Esbjerg||||
0|0|Pia Traunberg Schnell|"Advokat Pia Schnell,
Rungsted Kyst "|Ansættelses- og arbejdsret| etablering i øresundsregionen| skatteret |Helsingør||
0|0|Pia Tokkesdal Schou|"Hansen Sønderby & Co Advokatfirma,
Randers SØ "||Randers||||
4840|1322060|Pia Stoklund Walling|||||||
0|0|Pia Nøddebo Jensen|"Advokatfirmaet Tommy V. Christiansen,
Åbyhøj "|Skatteret| strafferet |Aarhus|||
5866|1879042|Pia Maach-Møller|||||||
0|0|Pia Mondrup Pedersen|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
0|0|Pia Moltke Jensen|"Lett Advokatfirma,
Aarhus C "||Aarhus||||
0|0|Pia Lykke Ullum|"Advokat Pia Ullum,
Hedehusene "||Glostrup||||
0|0|Pia Lisbeth Nielsen|"Molt Wengel Advokataktieselskab,
København Ø "|Entrepriseret| miljø og energi |København|||
0|0|Pia Klingenberg Vistisen|"Kromann Reumert,
Aarhus C "||Aarhus||||
3885|7361113|Pia Kjær Nielsen|||||||
0|0|Pia Kjerholt|"Pia Kjerholt Advokat,
København K "|Arveret| familieret- og personret| testamenter |København||
0|0|Pia Kirstine Voldmester|"Kromann Reumert,
København Ø "|EU-ret| immaterialret| medieret |København||
1034|615412|Pia Kirstine Rybenfeldt|||||||
1931|615384|Pia Jørgensen|||||||
0|0|Pia Jee Skou Eilertsen|"Novi Advokater v/ Advokat Pia Jee Skou Eilertsen,
København K "|IT-ret| kontrakter |København|||
0|0|Pia Hjort Mehlbye|"Advokat Pia Hjort Mehlbye,
Ballerup "||Glostrup||||
5209|900329|Pia Hanne Stålkjær|||||||
1863|615222|Pia Gjellerup|||||||
0|0|Pia Egsgaard|"Advokatfirmaet Egsgaard,
Bjerringbro "||Viborg||||
0|0|Pia Deleuran|"Advokatfirmaet Deleuran,
Frederiksberg "|Familieret- og personret| mediation/ mægling| procedure/ retssager |Frederiksberg||
0|0|Pia Bøstrup|"Gorrissen Federspiel Advokatfirma,
København V "||København||||
4530|235783|Pia Bodum|||||||
600|615032|Pia Bloch Bach|||||||
5336|1281685|Pia Bach Henriksen|||||||
3690|1726584|Pia Allerslev Simonsen|||||||
0|0|Phillipp N. Quedens|"Quedens Advokater I/S,
Hillerød "|Lejeret| procedure/ retssager| rekonstruktion |Hillerød||
0|0|Phillip Lassen|"Allan Winther-Rasmussen Advokat,
Aarhus C "||Aarhus||||
0|0|Phillip Comerford|"Advokat Phillip Comerford,
Frederiksberg C "|Bestyrelsesarbejde| formueforvaltning - erhverv| international voldgift |Frederiksberg||
3556|952177|Philippe Robert Joseph Arthur Marie Ziegler|||||||
1376|1724010|Philippe Jean Paul Lacombe|||||||
2168|1228725|Philippe Berther|||||||
2016|1759518|Philippe André René Raffay|||||||
1212|7386438|Philippe Alberta Maria Antonius Op de Beeck|||||||
0|0|Philip Søren Thorsen|"Mazanti-Andersen, Korsø Jensen & Partnere Advokatfirma,
København K "|Etablering i Østeuropa| eu-udbud| international erhvervsret |København||
0|0|Philip Risbjørn|"Hannes Snellman Advokatpartnerselskab,
København K "||København||||
0|0|Philip Prochownik|"Plesner,
København Ø "||København||||
0|0|Philip Palmer Jørgensen|"Kønig & Partnere,
København K "||København||||
0|0|Philip Nyholm|"Danders & More,
København K "|Finansieringsret| selskabsret| skatteret |København||
3531|614697|Philip Nordell|||||||
159|614688|Philip Michael Anthony Wiig|||||||
0|0|Philip Lönborg|"AB 92 Advokatfirma Advokatanpartsselskab,
Hellerup "|Entrepriseret |Lyngby||||
1878|1702624|Philip Llewellyn Edwards|||||||
0|0|Philip Klein|"Plesner,
København Ø "||København||||
0|0|Philip Graff|"MAQS Law Firm,
København K "||København||||
0|0|Philip Deleuran|"Advokatfirmaet Deleuran,
Frederiksberg "|Arv og dødsbo| fast ejendom-boligrådgivning/ ejendomsberigtigelse| testamenter |Frederiksberg||
0|614535|Philip Baruch|"Lund Elmer Sandager Advokatpartnerselskab,
København V "|Finansieringsret| kontraktsret| virksomhedsoverdragelse |København||
3222|614535|Philip Baruch|||||||
3625|614528|Philip Anthony Addis|||||||
0|0|Philip Adam Borreschmidt|"Mazanti-Andersen, Korsø Jensen & Partnere Advokatfirma,
København K "||København||||
1804|1186657|Petter Blondeau Rasmussen|||||||
4321|1079834|Petrus Thomas Adrianus van der Zande|||||||
4832|1144920|Petrus Rudolf Maria Vervaat|||||||
3609|614344|Petra Baader|||||||
0|614326|Peter-Ulrik Plesner|"Plesner,
København Ø "|Konkurrenceret| patentret| selskabsret |København||
950|614326|Peter-Ulrik Plesner|||||||
0|0|Peter-Andreas Aksel Ambrosius Bodilsen|"Bech-Bruun Advokatfirma,
København Ø "||København||||
2614|604856|Peter Aage Olsen|||||||
0|0|Peter Østergaard Nielsen|"Østergaard Nielsen Advokatfirma,
Vedbæk "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| retssager| selskabsret |Lyngby||
0|0|Peter Ørbæk|"Advokat Peter Ørbæk,
Gentofte "||Lyngby||||
0|0|Peter Ølholm|"ADVODAN Glostrup,
Glostrup "|Erhvervsret| familieret- og personret| strafferet |Glostrup||
0|0|Peter Zacho Skovbo|"Dreist Advokater A/S,
Køge "|Entrepriseret| erhvervs- og selskabsforhold| procedure/ retssager |Roskilde||
0|0|Peter Zacher Sørensen|"Advokatfirmaet Zacher & Andersen A/S,
Grenå "||Randers||||
1041|614158|Peter Wittenkamp Rich|||||||
2931|1567899|Peter Winther Johnsen|||||||
405|613855|Peter Willumsen|||||||
5457|614063|Peter Willesen|||||||
2940|613969|Peter Wenzel|||||||
0|0|Peter Wengler-Jørgensen|"Plesner,
København Ø "|Entrepriseret| selskabsret| virksomhedsoverdragelse |København||
5071|17131928|Peter Walter Herweck|||||||
0|0|Peter Vilsøe|"Vilsøe Boligadvokater,
København K "||København||||
0|0|Peter Vang|"Advodan Bornholm ApS,
Rønne "|Almen praksis| erhvervsret| selskabsret |Bornholm||
4878|613676|Peter Vagn Jensen|||||||
0|0|Peter Ulrik Linde|"Advokatfirmaet Linde V/Advokat Peter Linde,
Fredensborg "|Almen praksis| arv og dødsbo| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Helsingør||
2938|1731816|Peter Uhrenholt|||||||
0|0|Peter Trudsø|"Stagetorn Wenzel Lund Poulsen,
København K "|Retssager| strafferet |København|||
0|0|Peter Trinskjær|"Advodan Slagelse I/S,
Slagelse "||Næstved||||
0|0|Peter Tornvig Fruelund|"Advokatfirmaet Børge Nielsen,
Aalborg "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| it-ret| lejeret |Aalborg||
0|0|Peter Thykier|"Thykier & Rahbek Advokataktieselskab,
Greve "|Generationsskifte| internationale kontrakter| selskabsret |Roskilde||
0|607814|Peter Thrane Grubert|"Advokatfirmaet Jon Palle Buhl Advokataktieselskab,
København K "|Bestyrelsesarbejde| erhvervsret| virksomhedsoverdragelse |København||
3082|607814|Peter Thrane Grubert|||||||
0|0|Peter Thrane Bløcher|"Advokat Sandro Bernard Richard Vuylsteke,
København K "||København||||
4077|613427|Peter Thostrup|||||||
733|613405|Peter Thorsen|||||||
4127|1544766|Peter Thomsen|||||||
0|0|Peter Theis Jensen|"Plesner,
København Ø "|Erhvervsejendomme| lejeret| retssager |København||
4239|613306|Peter Theill|||||||
0|0|Peter Teisen|"Advokat Peter Teisen,
Hellerup "||København||||
0|0|Peter Tauby Sørensen|"Norsker Advokater I/S,
København K "|Insolvensret/ betalingsstandsning/ konkurs/ akkord| procedure/ retssager| selskabsret |København||
3119|613245|Peter Sørensen|||||||
813|613146|Peter Søborg Kofoed|||||||
0|0|Peter Stilling|"Ole Høyer og Peter Stilling Advokatfirmaet I/S,
Kolding "|Erhvervsret| erstatningsret| fast ejendom-boligrådgivning/ ejendomsberigtigelse |Kolding||
0|0|Peter Stig Jakobsen|"Bech-Bruun Advokatfirma,
København Ø "|EU-ret| konkurrenceret |København|||
497|1030899|Peter Stewart Brown|||||||
4229|715547|Peter Stenderup Jensen|||||||
0|0|Peter Steen Hansen|"Advice Advokatfirma,
København K "|Erhvervslejeret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| procedure/ retssager |København||
0|0|Peter Steen Hansen|"Panser/Lindahl Advokatanpartsselskab,
København K "|Erhvervslejeret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| procedure/ retssager |København||
0|0|Peter Stanstrup|"Lett Advokatfirma,
Kolding "|Moms og afgifter| selskabsret| skatteret |Kolding||
3142|612896|Peter Spøer|||||||
